TeamIdentifier,id_col,dataset,ConclusionS1,Conclusion
Byrock,Clar-1-1-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Clev-1-1-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Birdwoo-1-1-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Alban-4-4-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Byrock,Alban-1-1-1,eucalyptus,"Only the relationship between total grass cover and counts of Eucalyptus spp. seedlings greater than 2m was statistically significant at ÃƒÅ½Ã‚Â± = 0.05. That relationship can also be interpreted as 1.92 (1.196 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 3.939, 95% CL) times as many Eucalyptus spp. seedlings greater than 2m tall for every 10% decrease in total grass cover (p = 0.028). The combination of relatively large effect size and statistical significance suggests possible biological significance.",neg_q
Anglesea,Alban-2-2-1,eucalyptus,"Plots with eucalypt seedlings presence had significantly less exotic perennial grass cover. There was a weak negative association between percentage grass cover and eucalypt seedling recruitment. This indicates that the removal of exotic grass species (e.g. Buffelgras) can have a positive effect on eucalypt tree restoration. In conclusion, the four surveyed grass cover variables showed little effect on eucalypt seedling recruitment, and other factors might be more important.",neg_q
Anglesea,Alban-3-3-1,eucalyptus,"Plots with eucalypt seedlings presence had significantly less exotic perennial grass cover. There was a weak negative association between percentage grass cover and eucalypt seedling recruitment. This indicates that the removal of exotic grass species (e.g. Buffelgras) can have a positive effect on eucalypt tree restoration. In conclusion, the four surveyed grass cover variables showed little effect on eucalypt seedling recruitment, and other factors might be more important.",neg_q
Ardrossa,Alpha-1-1-1,eucalyptus,Grass cover does not appear to influence Eucalyptus seedling recruitment.,none_c
Arkarool,Appin-2-2-1,eucalyptus,Grass cover does not influence recruitments of seedlings between 0 to 50cm nor between 50cm and 2 m.,none_c
Armidale,Appin-1-1-1,eucalyptus,"Results suggest that eucalypt seedling recruitment was greater in plots with higher cover of annual herbaceous species (including true grasses of the family Poaceae). However, this effect was relatively weak compared to that of annual precipitation, landscape position, mature eucalypt canopy cover and other intrinsic differences among study sites (e.g., past management history or soils).",pos_q
Atherton,Appin-4-4-1,eucalyptus,"Grass cover influences Eucalyptus seedling recruitment, but this effect depends both on whether grass is native or exotic and on the seedling stage. Specifically, exotic grass cover positively influences the number of seedlings in the first two seedling stages, but this effect is reversed in the latest seedling stage due to a negative influence of exotic annual grass cover. In contrast, native grass seems not to have an influence on seedling recruitment.",mixed
Atherton,Appin-3-3-1,eucalyptus,"Grass cover influences Eucalyptus seedling recruitment, but this effect depends both on whether grass is native or exotic and on the seedling stage. Specifically, exotic grass cover positively influences the number of seedlings in the first two seedling stages, but this effect is reversed in the latest seedling stage due to a negative influence of exotic annual grass cover. In contrast, native grass seems not to have an influence on seedling recruitment.",mixed
Atherton,Blayney-1-1-1,eucalyptus,"Grass cover influences Eucalyptus seedling recruitment, but this effect depends both on whether grass is native or exotic and on the seedling stage. Specifically, exotic grass cover positively influences the number of seedlings in the first two seedling stages, but this effect is reversed in the latest seedling stage due to a negative influence of exotic annual grass cover. In contrast, native grass seems not to have an influence on seedling recruitment.",mixed
Balaklav,Bodalla-1-1-1,eucalyptus,"Native grass cover reduces eucalyptus seedling recruitment - potentially by limiting growth and survival of seedlings rather than by preventing germination in the first place. Exotic annual grasses had a non-significant but also potentially negative effect along the same lines. Sampling did not provide a basis to make similar conclusions about exotic perennial grasses.

This relationship is mediated by a negative feedback look: distance from existing eucalyptus canopy cover reduces litter cover, which promotes grass growth, suppressing eucalyptus recruitment.",neg_q
Ballarat,Bombala-1-1-1,eucalyptus,Exotic grass cover (both of perennial and annual grasses) had a small positive association with the number of Eucalyptus spp. plants below 50cm - using this as a proxy for Eucalyptus spp. seedling recruitment seems valid and therefore exotic grass cover has a weak positive effect on recruitment. There was no evidence that native perennial grass cover influenced Eucalyptus spp. seedling recruitment.,pos_q
Balmoral,Bonalbo-1-1-1,eucalyptus,Grass cover does not appear to influence Eucalyptus seedling recruitment.,none_c
Bangalow,Bonalbo-2-2-1,eucalyptus,"Generally, grass cover did not significantly influence the Eucalyptus spp. seedling recruitment",none_q
Bangalow,Aubur-3-3-1,eucalyptus,"Generally, grass cover did not significantly influence the Eucalyptus spp. seedling recruitment",none_q
Bangalow,Aubur-2-2-1,eucalyptus,"Generally, grass cover did not significantly influence the Eucalyptus spp. seedling recruitment",none_q
Bangalow,Aubur-1-1-1,eucalyptus,"Generally, grass cover did not significantly influence the Eucalyptus spp. seedling recruitment, with the exception that native perennial grass cover did significantly effect the number of seedlings between 50cm and 2 metres.",none_q
Barellan,Boorowa-1-3-1,eucalyptus,"I did not detect an effect of grass cover or any type of plant cover on seedling recruitment, and this conclusion was robust to different groupings of the non-woody plant cover.",none_c
Batchelo,Boorowa-1-1-1,eucalyptus,Though visually there appears to be an overall decrease in number of seedlings with percent grass cover I did not find it to statistically significant. I did find that there seem to be few mid sized seedlings in areas with more grass cover.,none_q
Batchelo,Boorowa-1-2-1,eucalyptus,Though visually there appears to be an overall decrease in number of seedlings with percent grass cover I did not find it to statistically significant. I did find that there seem to be few mid sized seedlings in areas with more grass cover.,none_q
Bathurst,Brookto-1-1-1,eucalyptus,From this analysis I would have to say that grass cover has no influence on Eucalyptus seedling recruitment.,none_c
Beachpor,Broulee-1-1-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beachpor,Bruthen-1-1-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beachpor,Buderim-1-1-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beachpor,Avoca-1-1-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beachpor,Candelo-4-4-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beachpor,Candelo-3-3-1,eucalyptus,Grass cover did not have an influence on Eucalyptus spp. seedling recruitment.,none_c
Beaufort,Candelo-1-1-1,eucalyptus,"this dataset does not provide sufficient evidence to declare a significant effect of herbaceous vegetation cover on seedling recruitment, either by counts or by presence/absence, given variation in seedling availability",none_q
Beaufort,Candelo-2-2-1,eucalyptus,"this dataset does not provide sufficient evidence to declare a significant effect of herbaceous vegetation cover on seedling recruitment, either by counts or by presence/absence, given variation in seedling availability",none_q
Belgrave,Bargo-1-1-1,eucalyptus,"There is weak evidence for weak or negligible negative relationships between eucalyptus recruitment and percentage grass cover (exotic annual and perennial, and native perennial grass species).",neg_q
Bencubbi,Bargo-3-3-1,eucalyptus,Grass cover did not have a significant influence on Eucalyptus seedling recruitment.,none_c
Bermagui,Bargo-2-2-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Bargo-4-4-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Capella-1-1-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Berry-1-1-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Carcoar-1-1-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Carnama-1-1-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Binda-2-2-2,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Binda-2-2-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Bermagui,Binda-1-1-1,eucalyptus,"Therefore, we find that while the coverage of exotic annual grass and perennial grass coverage negatively impacts the initial development of the eucalyptus seedlings, it does not affect larger size classes. We found no evidence for exotic perennial grass coverage significantly impacting recruitment of eucalypt seedling.",mixed
Berrigan,Binda-1-1-2,eucalyptus,There are fewer Eucalyptus seedlings with higher grass cover.,neg_c
Binalong,Borde-1-1-1,eucalyptus,"Grass cover limits eucalyptus recruitment. however, environmental conditions, origin and life cycle of the grass affect this relationship.",neg_q
Binalong,Chewton-1-1-1,eucalyptus,"Grass cover limits eucalyptus recruitment. however, environmental conditions, origin and life cycle of the grass affect this relationship.",neg_q
Binnaway,Bowen-4-3-1,eucalyptus,The odds of seedlings being present in a plot decreases as exotic perennial grass cover increases but is unaffected by annual grass or native grass cover. Herb cover and soil chemistry both have a much greater effect on seedling presence and count than grass cover.,neg_q
Blackall,Bowen-4-3-2,eucalyptus,"There is a positive association between small seedlings (0-50cm) and the cover of exotic annual grasses, a positive association between medium seedlings (50cm-2m) and the cover of native perennial grasses, and a negative association between large seedlings (>2m) and the cover of native perennial and exotic annual grasses.",mixed
Boggabri,Bowen-3-1-1,eucalyptus,"How does grass cover influence Eucalyptus spp. seedling recruitment?

There was no evidence that grass cover influenced Eucalyptus spp. seedling recruitment.",none_c
Booligal,Bowen-3-1-2,eucalyptus,"How does grass cover influence Eucalypt spp. seedlings recruitment?

If we look across different properties, there is limited evidence that properties grass cover affects seedling recruitment after controlling for difference in total annual precipitation among properties. Specifically, properties with high grass cover (total grass, native grass or exotic grass) do not have higher (or lower) average Eucalypt seedlings recruitment. 

There is some evidence that properties with total grass cover and exotic grass cover reduce the upper boundary of Eucalypt seedling recruitment. Therefore, properties with high total grass cover and exotic grass cover have low Eucalypt seedling recruitment whilst properties with lower total grass cover and exotic grass cover show a range of high and low Eucalypt seedling recruitment I could not separate the effects of other confounding variables.

However, I did find evidence that, within properties with high total annual precipitation, plots with Eucalypt seedlings had lower grass cover than plots with Eucalypt seedlings. This is consistent with a negative effect of grass cover on seedlings recruitment. This was not the case at drier sites where the effect might be opposite. I could not separate this effect from other confounding variables though.

In conclusion, across properties, grass cover might limit the potential for high Eucalypt seedling recruitment. Moreover, at high rainfall, grass cover may reduce Eucalypt seedling recruitment within properties but the opposite might the case at low rainfall. Therefore, whilst I did find some evidence that grass cover affects Eucalypt seedling recruitment, on the basis of these data, I would not make a firm conclusion about it.",neg_q
Booligal,Bowen-2-2-1,eucalyptus,"How does grass cover influence Eucalypt spp. seedlings recruitment?

If we look across different properties, there is limited evidence that properties grass cover affects seedling recruitment after controlling for difference in total annual precipitation among properties. Specifically, properties with high grass cover (total grass, native grass or exotic grass) do not have higher (or lower) average Eucalypt seedlings recruitment. 

There is some evidence that properties with total grass cover and exotic grass cover reduce the upper boundary of Eucalypt seedling recruitment. Therefore, properties with high total grass cover and exotic grass cover have low Eucalypt seedling recruitment whilst properties with lower total grass cover and exotic grass cover show a range of high and low Eucalypt seedling recruitment I could not separate the effects of other confounding variables.

However, I did find evidence that, within properties with high total annual precipitation, plots with Eucalypt seedlings had lower grass cover than plots with Eucalypt seedlings. This is consistent with a negative effect of grass cover on seedlings recruitment. This was not the case at drier sites where the effect might be opposite. I could not separate this effect from other confounding variables though.

In conclusion, across properties, grass cover might limit the potential for high Eucalypt seedling recruitment. Moreover, at high rainfall, grass cover may reduce Eucalypt seedling recruitment within properties but the opposite might the case at low rainfall. Therefore, whilst I did find some evidence that grass cover affects Eucalypt seedling recruitment, on the basis of these data, I would not make a firm conclusion about it.",neg_q
Booligal,Bowen-2-2-2,eucalyptus,"How does grass cover influence Eucalypt spp. seedlings recruitment?

If we look across different properties, there is limited evidence that properties grass cover affects seedling recruitment after controlling for difference in total annual precipitation among properties. Specifically, properties with high grass cover (total grass, native grass or exotic grass) do not have higher (or lower) average Eucalypt seedlings recruitment. 

There is some evidence that properties with total grass cover and exotic grass cover reduce the upper boundary of Eucalypt seedling recruitment. Therefore, properties with high total grass cover and exotic grass cover have low Eucalypt seedling recruitment whilst properties with lower total grass cover and exotic grass cover show a range of high and low Eucalypt seedling recruitment I could not separate the effects of other confounding variables.

However, I did find evidence that, within properties with high total annual precipitation, plots with Eucalypt seedlings had lower grass cover than plots with Eucalypt seedlings. This is consistent with a negative effect of grass cover on seedlings recruitment. This was not the case at drier sites where the effect might be opposite. I could not separate this effect from other confounding variables though.

In conclusion, across properties, grass cover might limit the potential for high Eucalypt seedling recruitment. Moreover, at high rainfall, grass cover may reduce Eucalypt seedling recruitment within properties but the opposite might the case at low rainfall. Therefore, whilst I did find some evidence that grass cover affects Eucalypt seedling recruitment, on the basis of these data, I would not make a firm conclusion about it.",neg_q
Booligal,Bulli-2-1-1,eucalyptus,"How does grass cover influence Eucalypt spp. seedlings recruitment?

If we look across different properties, there is limited evidence that properties grass cover affects seedling recruitment after controlling for difference in total annual precipitation among properties. Specifically, properties with high grass cover (total grass, native grass or exotic grass) do not have higher (or lower) average Eucalypt seedlings recruitment. 

There is some evidence that properties with total grass cover and exotic grass cover reduce the upper boundary of Eucalypt seedling recruitment. Therefore, properties with high total grass cover and exotic grass cover have low Eucalypt seedling recruitment whilst properties with lower total grass cover and exotic grass cover show a range of high and low Eucalypt seedling recruitment I could not separate the effects of other confounding variables.

However, I did find evidence that, within properties with high total annual precipitation, plots with Eucalypt seedlings had lower grass cover than plots with Eucalypt seedlings. This is consistent with a negative effect of grass cover on seedlings recruitment. This was not the case at drier sites where the effect might be opposite. I could not separate this effect from other confounding variables though.

In conclusion, across properties, grass cover might limit the potential for high Eucalypt seedling recruitment. Moreover, at high rainfall, grass cover may reduce Eucalypt seedling recruitment within properties but the opposite might the case at low rainfall. Therefore, whilst I did find some evidence that grass cover affects Eucalypt seedling recruitment, on the basis of these data, I would not make a firm conclusion about it.",neg_q
