Bonalbo,Bonalbo-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_1l9qIgUeSEKY3ME,all_grass,NA,0,linear,zero_inflated,NA,NA,Season,Property,NA,Easting,Northing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRad_Jul,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonalbo,Bonalbo-2-2-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),`euc_sdlgs50cm-2m` + `euc_sdlgs>2m`,euc_sdlgs>50cm,R_1l9qIgUeSEKY3ME,all_grass,NA,0,linear,zero_inflated,NA,NA,Season,Property,NA,Easting,Northing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRad_Jul,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boorowa,Boorowa-1-3-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs>2m,R_1LRqq2WHrQaENtM,ExoticPerennialGrass_cover,348,0,generalised,standard,NA,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual_precipitation,NA,NA,NA,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boorowa,Boorowa-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_1LRqq2WHrQaENtM,ExoticPerennialGrass_cover,348,0,generalised,standard,NA,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual_precipitation,NA,NA,NA,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boorowa,Boorowa-1-2-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_1LRqq2WHrQaENtM,ExoticPerennialGrass_cover,348,0,generalised,standard,NA,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,annual_precipitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brookto,Brookto-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),euc_sdlgs50cm_2m + euc_sdlgs0-50cm + euc_sdlgs>2m,euc_sdlgs_all,R_1LTZWsikoIaKdMu,all_grass,276,0,generalised,mixture_model,NA,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,NA,NA,NA,PET,NA,K_perc,Th_ppm,U_ppm,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soilPC1,coverPC1,coverPC2,coverPC3,NA,NA,NA,NA,NA
Broulee,Broulee-1-1-1,log,log,eucalyptus,0,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_1LXqc8NAdABndjl,ExoticPerennialGrass_cover,NA,1,generalised,standard,NA,NA,Season,Property,NA,NA,NA,NA,Landscape position,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,Litter_cover,NA,NA,NA,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,NA,NA,annual_precipitation,NA,NA,NA,NA,K_perc,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bruthen,Bruthen-1-1-1,NA,NA,eucalyptus,NA,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs_all,R_1M0cMZL2IPYWHoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buderim,Buderim-1-1-1,NA,NA,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs_all,R_1M0cMZL2IPYWHoi,NA,NA,1,generalised,NA,NA,Date,NA,NA,NA,Easting,Northing,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,NA,NA,NA,PET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candelo,Candelo-4-4-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),Euc_data$euc_sdlgs0_50cm + Euc_data$euc_sdlgs50cm.2m + Euc_data$euc_sdlgs.2m,euc_sdlgs_all,R_1NqVW3amqwy69rK,NA,NA,0,generalised,zero_inflated,NA,NA,NA,Property,Quadrat no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candelo,Candelo-3-3-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs>2m,R_1NqVW3amqwy69rK,all_grass,NA,0,generalised,zero_inflated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candelo,Candelo-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_1NqVW3amqwy69rK,NA,NA,0,generalised,zero_inflated,NA,NA,NA,Property,Quadrat no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Candelo,Candelo-2-2-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_1NqVW3amqwy69rK,NA,NA,0,generalised,zero_inflated,NA,NA,NA,Property,Quadrat no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),NA,euc_sdlgs50cm-2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carcoar,Carcoar-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),agg_regen <- data.complete$euc_sdlgs0_50cm*0.25 + data.complete$euc_sdlgs50cm.2m*1.25 + data.complete$euc_sdlgs.2m*2.5,small*0.25+medium*1.25+large*2.5,R_1r2FSn2AXuCimpi,ExoticAnnualGrass_cover,345,0,generalised,standard,NA,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_perennial_grass,NA
Carnama,Carnama-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_1reUKfTYXhTqVMo,NativePerennialGrass_cover,NA,1,generalised,standard,SurveyID,NA,Season,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewton,Chewton-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"""euc_sdlgs_overall = euc_sdlgs0_50cm + euc_sdlgs50cm_2m + euc_sdlgs_over2m"" as well as a binomial identifier on whether a seedling was present or not",euc_sdlgs_all,R_21AEcUhC7tWDsN6,all_grass:Euc_canopy_cover,NA,1,generalised,hurdle,NA,NA,NA,Property,NA,NA,NA,Aspect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MossLichen_cover,NA,Euc_canopy_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen,Aberdeen-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"sum of euc_sdlgs0_50cm, euc_sdlgs50cm.2m, euc_sdlgs.2m",euc_sdlgs_all,R_21I1NvXiVXIGkqp,all_grass,NA,0,generalised,standard,NA,Date,NA,Property,Quadrat no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,PET,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,growing_space,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andamook,Andamook-3-3-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_21jtSu9hB9Shf6Y,all_grass,350,0,generalised,standard,NA,NA,NA,Property,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andamook,Andamook-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_21jtSu9hB9Shf6Y,ExoticAnnualGrass_cover,350,0,generalised,standard,NA,NA,NA,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andamook,Andamook-4-4-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_21jtSu9hB9Shf6Y,all_grass,350,0,generalised,standard,NA,NA,NA,Property,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andamook,Andamook-2-2-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_21jtSu9hB9Shf6Y,ExoticAnnualGrass_cover,350,0,generalised,standard,NA,NA,NA,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrock,Byrock-1-3-1,log,log,eucalyptus,0,constructed variable (combining information from two or more original variables),We simply combined all of the eucalypt seedling groups: euc_sdlgs0_50cm + euc_sdlgs50cm.2m + euc_sdlgs.2m,euc_sdlgs_all,R_23UKvhBc7D608VO,all_grass,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrock,Byrock-5-7-1,log,log,eucalyptus,0,constructed variable (combining information from two or more original variables),combined: ExoticAnnualGrass_cover + ExoticPerennialGrass_cover + NativePerennialGrass_cover + NativePerennialGraminoid_cover,euc_sdlgs_all,R_23UKvhBc7D608VO,NativePerennialGrass_cover,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NativePerennialGraminoid_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrock,Byrock-4-6-1,log,log,eucalyptus,0,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs>2m,R_23UKvhBc7D608VO,all_grass,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrock,Byrock-2-4-1,log,log,eucalyptus,0,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs0_50cm,R_23UKvhBc7D608VO,all_grass,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrock,Byrock-3-5-1,log,log,eucalyptus,0,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs50cm_2m,R_23UKvhBc7D608VO,all_grass,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,all_grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anglesea,Anglesea-1-1-1,log,log,eucalyptus,0,constructed variable (combining information from two or more original variables),"Sum of seedlings: euc_sdlgs0_50cm, euc_sdlgs50cm-2m, euc_sdlgs>2m",euc_sdlgs_all,R_27QNfbdXCi5JjQT,all_perennial_grass,350,0,generalised,standard,NA,NA,NA,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
